Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Elif Yılmaz,Female,"Master of Science in Computer Engineering, Middle East Technical University (METU), Ankara, Turkey, 2016
Bachelor of Science in Software Engineering, Istanbul Technical University, Istanbul, Turkey, 2014",Garanti BBVA Technology,elif.yilmaz@example.com,linkedin.com/in/elif-yilmaz-softwaredev,+90 532 123 4567,Turkish,Senior Software Developer,"Master of Science in Computer Engineering 
Bachelor of Science in Software Engineering",12.083 years.,"1. Java
2. C++
3. Python
4. JavaScript
5. Spring Boot
6. Django
7. React.js
8. PostgreSQL
9. MySQL
10. MongoDB
11. Docker
12. Jenkins
13. Kubernetes
14. Ansible
15. AWS
16. Azure
17. Google Cloud Platform
18. Scrum Master (CSM)
19. AWS Certified Solutions Architect – Associate
20. Turkish
21. English",Software Developer_14.docx,Elif Yılmaz,Accept,Holds a strong software development background
Elif Yılmaz,Female,"Master of Science in Computer Engineering, Middle East Technical University (METU), Ankara, Turkey, 2016
Bachelor of Science in Software Engineering, Istanbul Technical University, Istanbul, Turkey, 2014",Garanti BBVA Technology,elif.yilmaz@example.com,linkedin.com/in/elif-yilmaz-softwaredev,+90 532 123 4567,Turkish,Senior Software Developer,"Master of Science in Computer Engineering 
Bachelor of Science in Software Engineering",12.083 years.,"1. Java
2. C++
3. Python
4. JavaScript
5. Spring Boot
6. Django
7. React.js
8. PostgreSQL
9. MySQL
10. MongoDB
11. Docker
12. Jenkins
13. Kubernetes
14. Ansible
15. AWS
16. Azure
17. Google Cloud Platform
18. Scrum Master (CSM)
19. AWS Certified Solutions Architect – Associate
20. Turkish
21. English",Software Developer_14.docx,Elif Yılmaz,Reject,Professional experience exceeds the required one
Amina Al-Saud,Female,"Master of Science in Computer Science, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, 2016
Bachelor of Science in Software Engineering, Prince Sultan University, Riyadh, Saudi Arabia, 2014",Mobily,amina.alsaud@example.com,linkedin.com/in/aminaalsaud-dev,+966 55 678 1234,Saudi,Senior Software Developer,"1. Master of Science in Computer Science 
2. Bachelor of Science in Software Engineering",10.4167 years,"1. Java
2. C#
3. Python
4. Scala
5. JavaScript
6. Angular
7. React
8. AWS
9. Azure
10. Google Cloud Platform
11. PostgreSQL
12. MySQL
13. MongoDB
14. DynamoDB
15. Docker
16. Kubernetes
17. Terraform
18. SQL
19. NoSQL
20. Containerization
21. Orchestration
22. Infrastructure as code
23. CI/CD pipelines
24. Microservices architecture",Software Developer_17.docx,Amina Al-Saud,Reject,Overqualified
Amina Al-Saud,Female,"Master of Science in Computer Science, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, 2016
Bachelor of Science in Software Engineering, Prince Sultan University, Riyadh, Saudi Arabia, 2014",Mobily,amina.alsaud@example.com,linkedin.com/in/aminaalsaud-dev,+966 55 678 1234,Saudi,Senior Software Developer,"1. Master of Science in Computer Science 
2. Bachelor of Science in Software Engineering",10.4167 years,"1. Java
2. C#
3. Python
4. Scala
5. JavaScript
6. Angular
7. React
8. AWS
9. Azure
10. Google Cloud Platform
11. PostgreSQL
12. MySQL
13. MongoDB
14. DynamoDB
15. Docker
16. Kubernetes
17. Terraform
18. SQL
19. NoSQL
20. Containerization
21. Orchestration
22. Infrastructure as code
23. CI/CD pipelines
24. Microservices architecture",Software Developer_17.docx,Amina Al-Saud,Reject,Does not display front-end development skills
Amina Al-Saud,Female,"Master of Science in Computer Science, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, 2016
Bachelor of Science in Software Engineering, Prince Sultan University, Riyadh, Saudi Arabia, 2014",Mobily,amina.alsaud@example.com,linkedin.com/in/aminaalsaud-dev,+966 55 678 1234,Saudi,Senior Software Developer,"1. Master of Science in Computer Science 
2. Bachelor of Science in Software Engineering",10.4167 years,"1. Java
2. C#
3. Python
4. Scala
5. JavaScript
6. Angular
7. React
8. AWS
9. Azure
10. Google Cloud Platform
11. PostgreSQL
12. MySQL
13. MongoDB
14. DynamoDB
15. Docker
16. Kubernetes
17. Terraform
18. SQL
19. NoSQL
20. Containerization
21. Orchestration
22. Infrastructure as code
23. CI/CD pipelines
24. Microservices architecture",Software Developer_17.docx,Amina Al-Saud,Reject,Professional experience not satisfactory
Rahul Gupta,Male,"Bachelor of Technology in Computer Science and Engineering from Indian Institute of Technology (IIT), Delhi, India, in 2016.",Digital Innovations,rahul.gupta@example.com,linkedin.com/in/rahulguptadev,+91 8800 123 456,Indian,Full Stack Developer,Bachelor of Technology in Computer Science and Engineering.,5.583 years,"1. React.js
2. Vue.js
3. HTML5
4. CSS3 (including SASS/LESS)
5. JavaScript (ES6+)
6. Node.js
7. Express.js
8. Django
9. Flask
10. PostgreSQL
11. MySQL
12. MongoDB
13. Firebase
14. ORM tools
15. Database design principles
16. AWS
17. Azure
18. Docker
19. Kubernetes
20. Jenkins
21. Git
22. GitHub
23. SASS
24. LESS
25. Java Script (ES6+)
26. Python",Senior Full Stack Developer_7.docx,Rahul Gupta,Reject,Professional experience displayed is insufficient
Rahul Gupta,Male,"Bachelor of Technology in Computer Science and Engineering from Indian Institute of Technology (IIT), Delhi, India, in 2016.",Digital Innovations,rahul.gupta@example.com,linkedin.com/in/rahulguptadev,+91 8800 123 456,Indian,Full Stack Developer,Bachelor of Technology in Computer Science and Engineering.,5.583 years,"1. React.js
2. Vue.js
3. HTML5
4. CSS3 (including SASS/LESS)
5. JavaScript (ES6+)
6. Node.js
7. Express.js
8. Django
9. Flask
10. PostgreSQL
11. MySQL
12. MongoDB
13. Firebase
14. ORM tools
15. Database design principles
16. AWS
17. Azure
18. Docker
19. Kubernetes
20. Jenkins
21. Git
22. GitHub
23. SASS
24. LESS
25. Java Script (ES6+)
26. Python",Senior Full Stack Developer_7.docx,Rahul Gupta,Accept,Has the required professional experience
Leila Al-Hassan,Female,"Master of Science in Computer Science, American University in Dubai, 2016 
Focus: Web Technologies and Development 
Thesis: ""Enhancing User Experience Through Responsive Web Design""

Bachelor of Science in Information Technology, Zayed University, Dubai, 2014
Relevant Courses: Advanced Web Development, UI/UX Design, Software Engineering",Digital Dreams,leila.alhassan@example.com,linkedin.com/in/leilaalhassanwebdev,+971 50 123 4567,Emirati,Senior Web Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",9.5 years,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. React.js
5. Vue.js
6. Node.js
7. Express
8. PHP
9. ASP.NET
10. MySQL
11. PostgreSQL
12. MongoDB
13. Git
14. Webpack
15. Babel
16. Docker
17. SQL
18. NoSQL
19. Database design
20. Query optimization
21. Data integrity
22. Version control
23. Bundling
24. Transpiling
25. Containerization
26. CI/CD pipelines
27. Automated testing
28. Deployment",Senior Web Developer.docx,Leila Al-Hassan,Reject,Professional experience does not display use of microservices architecture
Leila Al-Hassan,Female,"Master of Science in Computer Science, American University in Dubai, 2016 
Focus: Web Technologies and Development 
Thesis: ""Enhancing User Experience Through Responsive Web Design""

Bachelor of Science in Information Technology, Zayed University, Dubai, 2014
Relevant Courses: Advanced Web Development, UI/UX Design, Software Engineering",Digital Dreams,leila.alhassan@example.com,linkedin.com/in/leilaalhassanwebdev,+971 50 123 4567,Emirati,Senior Web Developer.,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",9.5 years,"1. HTML5
2. CSS3
3. JavaScript (ES6+)
4. React.js
5. Vue.js
6. Node.js
7. Express
8. PHP
9. ASP.NET
10. MySQL
11. PostgreSQL
12. MongoDB
13. Git
14. Webpack
15. Babel
16. Docker
17. SQL
18. NoSQL
19. Database design
20. Query optimization
21. Data integrity
22. Version control
23. Bundling
24. Transpiling
25. Containerization
26. CI/CD pipelines
27. Automated testing
28. Deployment",Senior Web Developer.docx,Leila Al-Hassan,Reject,Work experience exceeds the required number of years
Nurul Aminah,Female,"Master of Science in Computer Science, Universiti Teknologi Malaysia (UTM), 2016 
Bachelor of Science in Information Technology, Universiti Kebangsaan Malaysia (UKM), 2014",Maxis,nurul.aminah@example.com,linkedin.com/in/nurulaminah-dev,+60 12-345 6789,Malaysian,Senior Software Developer,"Master of Science in Computer Science 
Bachelor of Science in Information Technology",9.583 years,"1. Java
2. C#
3. Python
4. JavaScript
5. React
6. SQL (PostgreSQL, MySQL)
7. NoSQL (MongoDB)
8. AWS
9. Azure
10. Google Cloud
11. Docker
12. Kubernetes
13. CI/CD pipelines
14. Microservices Architecture
15. Containerization",Software Developer_19.docx,Nurul Aminah,Accept,Has displayed strong problem solving skills
Nurul Aminah,Female,"Master of Science in Computer Science, Universiti Teknologi Malaysia (UTM), 2016 
Bachelor of Science in Information Technology, Universiti Kebangsaan Malaysia (UKM), 2014",Maxis,nurul.aminah@example.com,linkedin.com/in/nurulaminah-dev,+60 12-345 6789,Malaysian,Senior Software Developer,"Master of Science in Computer Science 
Bachelor of Science in Information Technology",9.583 years,"1. Java
2. C#
3. Python
4. JavaScript
5. React
6. SQL (PostgreSQL, MySQL)
7. NoSQL (MongoDB)
8. AWS
9. Azure
10. Google Cloud
11. Docker
12. Kubernetes
13. CI/CD pipelines
14. Microservices Architecture
15. Containerization",Software Developer_19.docx,Nurul Aminah,Reject,Professional experience exceeds the required one
Fatima Al-Noaimi,Female,"1. PhD in Computer Science, Qatar University, Doha, Qatar, 2020
   - Dissertation: ""Enhancing User Experience Through Advanced Web Technologies""
   - Focus Areas: User Interface Design, Web Usability, Front-End Development

2. Master of Science in Information Systems, Qatar University, Doha, Qatar, 2017

3. Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2015",Qatar Tech Innovations,fatima.alnoaimi@example.com,linkedin.com/in/fatimaalnoaimiwebdev,+974 5555 0102,Qatari,Senior Web Developer.,"1. PhD in Computer Science
2. Master of Science in Information Systems
3. Bachelor of Science in Computer Engineering",7 years,"1. HTML5
2. CSS3
3. ES6
4. React
5. Angular
6. Node.js
7. Express
8. PostgreSQL
9. MySQL
10. MongoDB
11. SQL
12. NoSQL
13. Code optimization
14. Load time reduction
15. Mobile responsiveness
16. UX principles
17. Web accessibility standards
18. Front-end development
19. Back-end development
20. Database management",Senior Web Developer_QATARI.docx,Fatima Al-Noaimi,Reject,Does not meet the required number of years in professional experience
Fatima Al-Noaimi,Female,"1. PhD in Computer Science, Qatar University, Doha, Qatar, 2020
   - Dissertation: ""Enhancing User Experience Through Advanced Web Technologies""
   - Focus Areas: User Interface Design, Web Usability, Front-End Development

2. Master of Science in Information Systems, Qatar University, Doha, Qatar, 2017

3. Bachelor of Science in Computer Engineering, Qatar University, Doha, Qatar, 2015",Qatar Tech Innovations,fatima.alnoaimi@example.com,linkedin.com/in/fatimaalnoaimiwebdev,+974 5555 0102,Qatari,Senior Web Developer.,"1. PhD in Computer Science
2. Master of Science in Information Systems
3. Bachelor of Science in Computer Engineering",7 years,"1. HTML5
2. CSS3
3. ES6
4. React
5. Angular
6. Node.js
7. Express
8. PostgreSQL
9. MySQL
10. MongoDB
11. SQL
12. NoSQL
13. Code optimization
14. Load time reduction
15. Mobile responsiveness
16. UX principles
17. Web accessibility standards
18. Front-end development
19. Back-end development
20. Database management",Senior Web Developer_QATARI.docx,Fatima Al-Noaimi,Reject,Academic experience exceeds requirement
Reza Hashemi,Male,"Master of Science in Software Engineering, Sharif University of Technology, Tehran, Iran, 2016
Bachelor of Science in Computer Science, University of Tehran, Tehran, Iran, 2014",DigiKala,reza.hashemi@example.com,https://linkedin.com/in/rezahashemi-softwaredev,+98 912 345 6789,Iranian,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",9.583 years,"1. Java
2. Python
3. C++
4. JavaScript
5. Spring Boot
6. Django
7. React
8. Angular
9. PostgreSQL
10. MySQL
11. MongoDB
12. Cassandra
13. Docker
14. Jenkins
15. Kubernetes
16. Ansible
17. AWS
18. Azure
19. Google Cloud Platform
20. Scrum
21. Kanban
22. SQL
23. NoSQL
24. WebSocket
25. RESTful APIs",Software Developer_13.docx,Reza Hashemi,Accept,Skill set matches the one required
Reza Hashemi,Male,"Master of Science in Software Engineering, Sharif University of Technology, Tehran, Iran, 2016
Bachelor of Science in Computer Science, University of Tehran, Tehran, Iran, 2014",DigiKala,reza.hashemi@example.com,https://linkedin.com/in/rezahashemi-softwaredev,+98 912 345 6789,Iranian,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",9.583 years,"1. Java
2. Python
3. C++
4. JavaScript
5. Spring Boot
6. Django
7. React
8. Angular
9. PostgreSQL
10. MySQL
11. MongoDB
12. Cassandra
13. Docker
14. Jenkins
15. Kubernetes
16. Ansible
17. AWS
18. Azure
19. Google Cloud Platform
20. Scrum
21. Kanban
22. SQL
23. NoSQL
24. WebSocket
25. RESTful APIs",Software Developer_13.docx,Reza Hashemi,Reject,Professional experience exceeds the required one
Aisha Al-Mansour,Female,"Master of Science in Computer Science, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, 2018
Bachelor of Science in Software Engineering, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia, 2015",Saudi Aramco,aisha.almansour@example.com,linkedin.com/in/aishaalmansour-webdev,+966 58 123 4567,Saudi,Senior Web Developer,"1. Master of Science in Computer Science
2. Bachelor of Science in Software Engineering",8.5 years,"1. React
2. Angular
3. Vue.js
4. Node.js
5. Django
6. Ruby on Rails
7. MySQL
8. PostgreSQL
9. MongoDB
10. RESTful API development
11. Caching
12. CDNs
13. Authentication
14. Authorization
15. Secure coding standards
16. Agile methodologies
17. Sprint planning
18. Code reviews
19. JavaScript
20. Microsoft Certified Web Developer
21. Oracle Certified Professional JavaScript Developer",WebDeveloper_7.docx,Aisha Al-Mansour,Reject,Lacks experience with cloud services
Aisha Al-Mansour,Female,"Master of Science in Computer Science, King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, 2018
Bachelor of Science in Software Engineering, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia, 2015",Saudi Aramco,aisha.almansour@example.com,linkedin.com/in/aishaalmansour-webdev,+966 58 123 4567,Saudi,Senior Web Developer,"1. Master of Science in Computer Science
2. Bachelor of Science in Software Engineering",8.5 years,"1. React
2. Angular
3. Vue.js
4. Node.js
5. Django
6. Ruby on Rails
7. MySQL
8. PostgreSQL
9. MongoDB
10. RESTful API development
11. Caching
12. CDNs
13. Authentication
14. Authorization
15. Secure coding standards
16. Agile methodologies
17. Sprint planning
18. Code reviews
19. JavaScript
20. Microsoft Certified Web Developer
21. Oracle Certified Professional JavaScript Developer",WebDeveloper_7.docx,Aisha Al-Mansour,Reject,Professional experience exceeds the required one
Chen Wei,Male,"Bachelor of Science in Computer Science, Tsinghua University, Beijing, China, 2018.","Huawei Technologies Co., Ltd.",chen.wei@example.com,linkedin.com/in/chenwei-softwaredev,+86 138 0012 3456,Chinese,Software Developer.,Bachelor of Science in Computer Science.,4.083 years,"1. Java
2. Python
3. C#
4. JavaScript
5. TypeScript
6. Spring Boot
7. Django
8..NET
9. React
10. Angular
11. MySQL
12. PostgreSQL
13. MongoDB
14. Docker
15. Git
16. Jenkins
17. Scrum
18. Kanban
19. Oracle Certified Java Programmer
20. Certified Python Programmer
21. Mandarin
22. English",Software Developer_14(1).docx,Chen Wei,Reject,Has not met the required professional experience
Chen Wei,Male,"Bachelor of Science in Computer Science, Tsinghua University, Beijing, China, 2018.","Huawei Technologies Co., Ltd.",chen.wei@example.com,linkedin.com/in/chenwei-softwaredev,+86 138 0012 3456,Chinese,Software Developer.,Bachelor of Science in Computer Science.,4.083 years,"1. Java
2. Python
3. C#
4. JavaScript
5. TypeScript
6. Spring Boot
7. Django
8..NET
9. React
10. Angular
11. MySQL
12. PostgreSQL
13. MongoDB
14. Docker
15. Git
16. Jenkins
17. Scrum
18. Kanban
19. Oracle Certified Java Programmer
20. Certified Python Programmer
21. Mandarin
22. English",Software Developer_14(1).docx,Chen Wei,Reject,Lacks proof of supporting peers and junior developers
David Thompson,Male,"- PhD in Computer Science, University of Toronto, Toronto, Canada, 2018 
  Dissertation: ""Advancements in Scalable Web Architectures: A Comprehensive Study""

- Master of Science in Software Engineering, University of British Columbia, Vancouver, Canada, 2014

- Bachelor of Science in Computer Science, McGill University, Montreal, Canada, 2012",Innovative Web Solutions,david.thompson@example.com,https://linkedin.com/in/davidthompsondev,+1 416-555-0102,Canadian,Senior Full Stack Developer,"1. PhD in Computer Science 
2. Master of Science in Software Engineering 
3. Bachelor of Science in Computer Science",7 years,"1. React.js
2. Angular
3. HTML5
4. CSS3
5. JavaScript
6. Node.js
7. Django
8. Ruby on Rails
9. RESTful APIs
10. Microservices architecture
11. Serverless computing
12. SQL
13. MySQL
14. PostgreSQL
15. MongoDB
16. DynamoDB
17. AWS
18. Azure
19. Google Cloud Platform
20. Docker
21. Kubernetes
22. Jenkins
23. GitLab
24. CI/CD
25. Containerization
26. Automation
27. SQL database management
28. NoSQL database management
29. Cloud deployment
30. Container management",Senior Full Stack Developer_3.docx,David Thompson,Accept,Skill set matches the one required
David Thompson,Male,"- PhD in Computer Science, University of Toronto, Toronto, Canada, 2018 
  Dissertation: ""Advancements in Scalable Web Architectures: A Comprehensive Study""

- Master of Science in Software Engineering, University of British Columbia, Vancouver, Canada, 2014

- Bachelor of Science in Computer Science, McGill University, Montreal, Canada, 2012",Innovative Web Solutions,david.thompson@example.com,https://linkedin.com/in/davidthompsondev,+1 416-555-0102,Canadian,Senior Full Stack Developer,"1. PhD in Computer Science 
2. Master of Science in Software Engineering 
3. Bachelor of Science in Computer Science",7 years,"1. React.js
2. Angular
3. HTML5
4. CSS3
5. JavaScript
6. Node.js
7. Django
8. Ruby on Rails
9. RESTful APIs
10. Microservices architecture
11. Serverless computing
12. SQL
13. MySQL
14. PostgreSQL
15. MongoDB
16. DynamoDB
17. AWS
18. Azure
19. Google Cloud Platform
20. Docker
21. Kubernetes
22. Jenkins
23. GitLab
24. CI/CD
25. Containerization
26. Automation
27. SQL database management
28. NoSQL database management
29. Cloud deployment
30. Container management",Senior Full Stack Developer_3.docx,David Thompson,Reject,Over qualified
Omar Al-Hassan,Male,"Master of Science in Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia, 2016 
Specialization: Web Technologies

Bachelor of Science in Information Technology, King Saud University, Riyadh, Saudi Arabia, 2014 
Relevant Courses: Advanced Web Development, User Experience Design",Digital Solutions Co.,omar.alhassan@example.com,linkedin.com/in/omaralhassanwebdev,+966 50 555 0102,Saudi Arabian,Senior Web Developer,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",9 years and 5.5 months,"1. HTML5
2. CSS3 (SASS/LESS)
3. JavaScript (ES6+)
4. React.js
5. Vue.js
6. Node.js
7. Express.js
8. SQL (MySQL, PostgreSQL)
9. NoSQL (MongoDB)
10. Docker
11. Kubernetes
12. AWS services
13. Jenkins
14. GitLab CI
15. OAuth
16. JWT
17. SQL injection prevention
18. XSS prevention
19. Agile methodologies
20. Docker containerization
21. Kubernetes orchestration
22. Cloud deployment (AWS)",Senior Web Developer_arab.docx,Omar Al-Hassan,Reject,Does not display experience with cloud services
Omar Al-Hassan,Male,"Master of Science in Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia, 2016 
Specialization: Web Technologies

Bachelor of Science in Information Technology, King Saud University, Riyadh, Saudi Arabia, 2014 
Relevant Courses: Advanced Web Development, User Experience Design",Digital Solutions Co.,omar.alhassan@example.com,linkedin.com/in/omaralhassanwebdev,+966 50 555 0102,Saudi Arabian,Senior Web Developer,"1. Master of Science in Computer Science 
2. Bachelor of Science in Information Technology",9 years and 5.5 months,"1. HTML5
2. CSS3 (SASS/LESS)
3. JavaScript (ES6+)
4. React.js
5. Vue.js
6. Node.js
7. Express.js
8. SQL (MySQL, PostgreSQL)
9. NoSQL (MongoDB)
10. Docker
11. Kubernetes
12. AWS services
13. Jenkins
14. GitLab CI
15. OAuth
16. JWT
17. SQL injection prevention
18. XSS prevention
19. Agile methodologies
20. Docker containerization
21. Kubernetes orchestration
22. Cloud deployment (AWS)",Senior Web Developer_arab.docx,Omar Al-Hassan,Reject,Professional experience exceeds the required one
Youssef Al-Harthy,Male,"Master of Science in Computer Science, Sultan Qaboos University, Muscat, Oman, 2016
Bachelor of Engineering in Software Engineering, Caledonian College of Engineering, Muscat, Oman, 2014",Information Technology Authority (ITA),youssef.alharthy@example.com,https://www.linkedin.com/in/youssefalharthy-dev,+968 9200 1234,Omani,Senior Software Developer,"1. Master of Science in Computer Science 
2. Bachelor of Engineering in Software Engineering",13.2083 years,"1. Java
2. Python
3. C#
4. JavaScript
5. Spring Boot
6. Django
7. React
8. Angular
9. AWS
10. Azure
11. MySQL
12. PostgreSQL
13. MongoDB
14. Redis
15. SQL
16. Docker
17. Kubernetes
18. Jenkins
19. Travis CI
20. GitLab CI
21. Agile methodologies (Scrum and Kanban)
22. Agile project management
23. Leadership and team development
24. Mentorship
25. Containerization
26. Orchestration
27. Continuous integration
28. Continuous deployment
29. Serverless solutions
30. Cloud architecture optimization
31. Database schema design
32. Database performance optimization
33. Database security measures
34. Machine learning models
35. Data analytics
36. Financial analytics
37. IoT technologies
38. Mobile application development
39. Full-stack software development
40. DevOps integration",Software_dev_2.docx,Youssef Al-Harthy,Accept,Has a strong background in software development
Youssef Al-Harthy,Male,"Master of Science in Computer Science, Sultan Qaboos University, Muscat, Oman, 2016
Bachelor of Engineering in Software Engineering, Caledonian College of Engineering, Muscat, Oman, 2014",Information Technology Authority (ITA),youssef.alharthy@example.com,https://www.linkedin.com/in/youssefalharthy-dev,+968 9200 1234,Omani,Senior Software Developer,"1. Master of Science in Computer Science 
2. Bachelor of Engineering in Software Engineering",13.2083 years,"1. Java
2. Python
3. C#
4. JavaScript
5. Spring Boot
6. Django
7. React
8. Angular
9. AWS
10. Azure
11. MySQL
12. PostgreSQL
13. MongoDB
14. Redis
15. SQL
16. Docker
17. Kubernetes
18. Jenkins
19. Travis CI
20. GitLab CI
21. Agile methodologies (Scrum and Kanban)
22. Agile project management
23. Leadership and team development
24. Mentorship
25. Containerization
26. Orchestration
27. Continuous integration
28. Continuous deployment
29. Serverless solutions
30. Cloud architecture optimization
31. Database schema design
32. Database performance optimization
33. Database security measures
34. Machine learning models
35. Data analytics
36. Financial analytics
37. IoT technologies
38. Mobile application development
39. Full-stack software development
40. DevOps integration",Software_dev_2.docx,Youssef Al-Harthy,Reject,Insufficient back-end experience
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Accept,Holds a CFA certification
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Accept,Professional experience matches the one required
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Reject,Overqualified
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Reject,Background professional experience not sufficient
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Accept,Has both front-end and back-end development skills
Noor Al-Thani,Female,"Master of Science in Software Engineering, Qatar University, Doha, Qatar, 2016 
Bachelor of Science in Computer Science, Carnegie Mellon University in Qatar, Doha, Qatar, 2014",Qatar National Bank (QNB),noor.althani@example.com,https://www.linkedin.com/in/nooralthani-dev,+974 5000 1234,Qatari,Senior Software Developer,"1. Master of Science in Software Engineering 
2. Bachelor of Science in Computer Science",11.5 years,"1. Java
2. C#
3. Python
4. JavaScript
5. Spring Boot
6..NET Core
7. Django
8. React
9. Vue.js
10. Angular
11. PostgreSQL
12. MySQL
13. MongoDB
14. Redis
15. Docker
16. Kubernetes
17. Jenkins
18. Git
19. AWS
20. Azure
21. Google Cloud Platform
22. Agile methodologies
23. Scrum methodologies",Software Developer_24.docx,Noor Al-Thani,Reject,Professional experience exceeds the required one
